Chapter,Question_No,Question,Options,Correct Answer
Chapter 9 - Wireless Mesh,14,"In the context of mesh networks, what does the term 'self-healing' refer to?",The process of adding new nodes to the network|Healing of hardware issues without human intervention|The network's ability to automatically reroute data if a node fails |The ability to manually repair physical damage,The network's ability to automatically reroute data if a node fails 
Chapter 9 - Wireless Mesh,15,What is the primary feature of a wireless mesh network?,Single-hop communication|Centralized architecture|Limited to indoor use only|Decentralized architecture |Chapter 10 - HTTP & REST,Decentralized architecture 
Chapter 10 - HTTP & REST,1,What is the primary role of a RESTful API's Uniform Interface constraint?,To standardize the way clients interact with the server|To define specific operations like GET and POST|To ensure that the API is stateful|To separate client and server implementations,To standardize the way clients interact with the server
Chapter 10 - HTTP & REST,2,What mechanism does RESTful APIs use to indicate the current state of the resource?,HTTP status codes|HTTP headers|API tokens|Response body,HTTP status codes
Chapter 10 - HTTP & REST,3,"In RESTful APIs, what is used to uniquely identify a resource?",URI (Uniform Resource Identifier)|Query parameters|API key|Session ID,URI (Uniform Resource Identifier)
Chapter 10 - HTTP & REST,4,Which of the following is NOT a constraint of RESTful architecture?,Cookie-based authentication|Statelessness|Cacheability|Client-server architecture,Cookie-based authentication
Chapter 10 - HTTP & REST,5,"In RESTful APIs, what is the purpose of a payload in a POST request?",To contain the data being sent by the client|To provide additional headers|To carry control information|To deliver the client's request to the server,To contain the data being sent by the client
Chapter 10 - HTTP & REST,6,What does idempotence mean in the context of RESTful APIs?,The API produces the same result no matter how many times the same request is made|The API produces different results with each request|The API encrypts data for security|The API can handle asynchronous requests,The API produces the same result no matter how many times the same request is made
Chapter 10 - HTTP & REST,7,Which of the following HTTP methods is used to retrieve a resource in RESTful architecture?,GET|PUT|DELETE|POST,GET
Chapter 10 - HTTP & REST,8,Which HTTP method should be used to update an existing resource in RESTful web services?,PUT|GET|DELETE|POST,PUT
Chapter 10 - HTTP & REST,9,What is a resource in the context of RESTful web services?,An entity that can be accessed and manipulated through a URI|A container for storing data in a web application|A set of procedures for accessing a database|A function that performs a specific action,An entity that can be accessed and manipulated through a URI
Chapter 10 - HTTP & REST,10,"In RESTful APIs, what does a status code in the 5xx range signify?",Server error|Redirection|Successful operation|Client error,Server error
Chapter 10 - HTTP & REST,11,What is the HTTP method used to create a new resource in RESTful architecture?,POST|GET|PUT|DELETE,POST
Chapter 10 - HTTP & REST,12,What does REST stand for?,Representational State Transfer|Real-time State Transfer|Relative State Transmission|Remote Server Transaction,Representational State Transfer
Chapter 10 - HTTP & REST,13,Which HTTP status code indicates a successful GET request in a RESTful API?,200 OK|201 Created|400 Bad Request|500 Internal Server Error,200 OK
Chapter 10 - HTTP & REST,14,What type of architecture does RESTful APIs follow?,Client-server architecture|Microservices architecture|Peer-to-peer architecture|Monolithic architecture|Publisher-Subscriber architecture|Chapter 11 - CoAP & MQTT (DONE! ALL CORRECT),Client-server architecture
Chapter 11 - CoAP & MQTT ,1,MQTT is _______ oriented.,Message|Network|Device|Data,Message
Chapter 11 - CoAP & MQTT ,2,CoAP supports which of the following methods similar to HTTP?,"GET, POST, PUT, DELETE|None of them|OPTIONS, HEAD|CONNECT, TRACE, PATCH","GET, POST, PUT, DELETE"
Chapter 11 - CoAP & MQTT ,3,What is the maximum number of clients that can subscribe to a single topic in MQTT?,Unlimited|100|1|10,Unlimited
Chapter 11 - CoAP & MQTT ,4,What transport layer protocol does CoAP use?,UDP|ICMP|TCP|REST,UDP
Chapter 11 - CoAP & MQTT ,5,What type of protocol is MQTT?,Application protocol|Presentation protocol|Transport protocol|Network protocol,Application protocol
Chapter 11 - CoAP & MQTT ,6,CoAP is specialized in?,Internet Application |Wireless applications|Device applications|Wired applications,Internet Application 
Chapter 11 - CoAP & MQTT ,7,CoAP is a specialised _________ protocol.,Application|Resource|Web transfer|Power,Application
Chapter 11 - CoAP & MQTT ,8,Select the TRUE statement(s) for CoAP protocol:,Uses PUT message requests to create subscription|Uses GET message requests to retrieve subscription|Uses FETCH message requests to retrieve subscription.|Uses PUSH message requests to create subscription.,Uses PUT message requests to create subscription;;Uses GET message requests to retrieve subscription
Chapter 11 - CoAP & MQTT ,9,CoAP is designed for which kind of networks?,Resource-constrained networks|Local Area Networks (LAN)|Datacenter Networks|Wide Area Networks (WAN),Resource-constrained networks
Chapter 11 - CoAP & MQTT ,10,Which protocol is CoAP closely modeled after?,HTTP|FTP|AMQP|MQTT,HTTP
Chapter 11 - CoAP & MQTT ,11,MQTT uses the publish/subscribe model. How does the publisher know who is subscribing?,"The publisher doesn't know|The subscriber informs the publisher|The publisher gets notified when they subscribe.|Publisher uses the ""Eye of Sauron""",The publisher doesn't know
Chapter 11 - CoAP & MQTT ,12,The Last Will Message is used to:,Notify clients of a failure in the publisher|Guarantee that the message was delivered|Gain inheritance|Notify a publisher of a network failure,Notify clients of a failure in the publisher
Chapter 11 - CoAP & MQTT ,13,Which of the following is not a characteristic of MQTT?,Request/response messaging model|Publish/subscribe messaging model|Quality of Service (QoS)|Low overhead,Request/response messaging model
Chapter 11 - CoAP & MQTT ,14,CoAP provides which of the following requirements?,"Multicast support, lower overhead and simplicity|Multicast support and simplicity|Lower overhead and multicast support|Simplicity and low overhead","Multicast support, lower overhead and simplicity"
Chapter 11 - CoAP & MQTT ,15,Which of the following is not a client type in MQTT?,Producer|Publisher|Subscriber|Broker,Producer
Chapter 11 - CoAP & MQTT ,16,MQTT transmits data to and from a broker in which format. (Choose the best option),Binary data|JSON|XML|Text based data,Binary data
Chapter 11 - CoAP & MQTT ,17,Which layer is CoAP?,Application layer|Transport layer|Service layer|Control layer,Application layer
Chapter 11 - CoAP & MQTT ,18,To receive a retained message?,You must subscribe to a topic that has been published with the retained message set.|You must keep the message.|You must subscribe with the retained message set.|You must subscribe with a QOS of 1 or 2,You must subscribe to a topic that has been published with the retained message set.
Chapter 11 - CoAP & MQTT ,19,What does CoAP stand for?,Constrained Application Protocol|Control Application Protocol|Common Application Protocol|Compact Application Protocol,Constrained Application Protocol
Chapter 11 - CoAP & MQTT ,20,Which of the following QoS levels in MQTT ensures message delivery at least once?,QoS 1|QoS 2|QoS 0|None of them.,QoS 1
Chapter 11 - CoAP & MQTT ,21,What is a topic in MQTT?,A string used to filter messages in a publish/subscribe model|A unique identifier for a message|A client identifier|A message payload,A string used to filter messages in a publish/subscribe model
Chapter 11 - CoAP & MQTT ,22,The core of the protocol is specified in _____?,RFC 7252|RFC 7254|RFC 7524|RFC 7452,RFC 7252
Chapter 11 - CoAP & MQTT ,23,What does MQTT stand for?,Message Queuing Telemetry Transport|Message Queuing Transaction Transport|Message Querying Telecommunication Transmission|Message Quorum Transport Technology,Message Queuing Telemetry Transport
Chapter 11 - CoAP & MQTT ,24,CoAP messages can be of which types?,Confirmable and Non-Confirmable|Synchronous and Asynchronous|Persistent and Transient|Request and Response,Confirmable and Non-Confirmable
Chapter 11 - CoAP & MQTT ,25,CoAP Protocol is comprised of which sub-layers?,Observation|Message|Request & Response|UDP,Message;;Request & Response
Chapter 11 - CoAP & MQTT ,26,What is the default port number for MQTT?,1833  Note: by right should be 1883 but might be typo please look out|80|8080|8883|Chapter 12 - aIoT & Cloud,1833  Note: by right should be 1883 but might be typo please look out
Chapter 12 - aIoT & Cloud,1,IIoT stands for Industrial IoT.,TRUE,TRUE
Chapter 12 - aIoT & Cloud,2,Which of the following is NOT an advantage of Edge Computing?,Significantly reduced data storage requirements|Faster response time|Reduces Network Bandwidth Requirements|Low investment cost ,Low investment cost 
Chapter 12 - aIoT & Cloud,3,"Base on the lecture, which of the following is NOT an advantage of Cloud Computing?",Resilient|Integration |Management|Virtualisation,Integration 
Chapter 12 - aIoT & Cloud,4,Match the Edge computing platforms to how they perform inferencing on the device.,CPU-centric →  Raspberry Pi|GPU-centric →  NVIDIA Jetson,CPU-centric →  Raspberry Pi;;GPU-centric →  NVIDIA Jetson
Chapter 12 - aIoT & Cloud,5,"Based on the lecture, which of the following is not a typical deployment challenge for Edge computing devices.","Sound proofing |Waterproofing|Power|Thermal
 (Thermal, waterproofing, and power are real-world challenges for edge device deployment.)",Sound proofing 
Chapter 12 - aIoT & Cloud,6,What is IaaS?,Infrastructure as a Service |Interaction as a Service|Intelligence as a Service|Internet as a Service,Infrastructure as a Service 
Chapter 12 - aIoT & Cloud,7,Which of the following is a good example of an AIoT application?,A smart home thermostat that learns your preferences over time |A wearable device that tracks your steps and calories burned|A wireless security camera that sends alerts to your smartphone|A fitness tracker that monitors your heart rate and sleep patterns,A smart home thermostat that learns your preferences over time 
Chapter 12 - aIoT & Cloud,8,Which of the following is not a benefit of AIoT? (pick the best answer),Decreased complexity |Improved energy efficient|Enhanced Security|Increased productivity,Decreased complexity 
Chapter 12 - aIoT & Cloud,9,What is Cloud Computing?,It is a way to access software and services over the internet. |It is a way to store data on your local computer.|It is a way to physically connect multiple computers together.|It is a way to protect data from unauthorized access.,It is a way to access software and services over the internet. 
Chapter 12 - aIoT & Cloud,10,Which if the following statement is FALSE?,Type 2 Hypervisor are also known as Bare metal hypervisor. |Type 1 Hypervisor are also known as Bare metal hypervisor.|Type 2 Hypervisor use host OS.|Type 1 Hypervisor do not use host OS.,Type 2 Hypervisor are also known as Bare metal hypervisor. 
Chapter 12 - aIoT & Cloud,11,Which of the following is not a potential use case for AIoT in industrial automation?,Employee time tracking |Quality control|Inventory management|Predictive maintenance,Employee time tracking 
Chapter 12 - aIoT & Cloud,12,Which of the following is a limitation of AIoT?,It is limited by the processing power of IoT devices |It can be expensive to implement|It is only suitable for large-scale applications|It requires a high degree of technical expertise to implement,It is limited by the processing power of IoT devices 
Chapter 12 - aIoT & Cloud,13,Which if the following is TRUE about Fog Computing?,"Cloud is a centralized system, while the fog is a distributed decentralized infrastructure |Fog provides low latency |Fog computing are located nearer to the Cloud computing|Fog computing is a separate architecture that can replace cloud computing.","Cloud is a centralized system, while the fog is a distributed decentralized infrastructure ;;Fog provides low latency "
Chapter 12 - aIoT & Cloud,14,Match the following services to the components that are NOT managed by the Cloud operator (e.g. Microsoft)? (CORRECT ANSWER),"On Premises → 1. Networking, Storage, Servers, Virtualization, OS, Middleware, Runtime, Data and Applications|IaaS → 2. OS, Middleware, Runtime, Data and Applications|PaaS →  3. Data and Applications|SaaS → 4. Nil","On Premises → 1. Networking, Storage, Servers, Virtualization, OS, Middleware, Runtime, Data and Applications;;IaaS → 2. OS, Middleware, Runtime, Data and Applications;;PaaS →  3. Data and Applications;;SaaS → 4. Nil"
Chapter 12 - aIoT & Cloud,15,Which of the following is a benefit of cloud computing?,Correct Answer: Lower maintenance costs|Higher upfront costs|Limited data accessibility|Limited scalability,Correct Answer: Lower maintenance costs
Chapter 12 - aIoT & Cloud,16,AIoT stands for?,Artificial Intelligence on IoT|Artificial Internet of Things|Advanced IoT|Artificial Intelligence of Things (THIS SHOULD BE CORRECT),Artificial Intelligence on IoT
Chapter 12 - aIoT & Cloud,17,Which if the following is NOT a Cloud Service Model?,Platform as a Service|Infrastructure as a Service|Virtualization as a Service (CORRECT|Software as a Service,Virtualization as a Service (CORRECT
Chapter 12 - aIoT & Cloud,18,What is the name of the cloud service model that provides access to software applications over the internet?,Software as a Service(SaaS) |Function as a Service (FaaS)|Infrastructure as a Service (IaaS)|Platform as a Service (PaaS),Software as a Service(SaaS) 
Chapter 12 - aIoT & Cloud,19,What is the purpose of AIoT?,To replace IoT devices with AI-powered devices|To improve the design of IoT devices|To create a secure network for IoT devices|To integrate artificial intelligence with the internet of things,To integrate artificial intelligence with the internet of things
